sensor,day,time,date,dateTime,latitude,longitude
Hyp,20240809,083000,2024-08-09,2024-08-09T06:30:00Z,36.01006699999999,22.402182999999997
HYPERPRO,20240809,084500,2024-08-09,2024-08-09T06:45:00Z,36.0082,22.403399999999998
Hyp,20240809,090000,2024-08-09,2024-08-09T07:00:00Z,36.007133,22.403499999999998
Hyp,20240812,104500,2024-08-12,2024-08-12T08:45:00Z,36.57005,15.143232999999999
HYPERPRO,20240812,105300,2024-08-12,2024-08-12T08:53:00Z,36.56830000000001,15.139999999999999
Hyp,20240813,094000,2024-08-13,2024-08-13T07:40:00Z,36.852582999999996,15.64365
HYPERPRO,20240813,094900,2024-08-13,2024-08-13T07:49:00Z,36.85379999999999,15.644499999999999
Hyp,20240813,100100,2024-08-13,2024-08-13T08:01:00Z,36.854716999999994,15.645199999999999
Hyp,20240814,100000,2024-08-14,2024-08-14T08:00:00Z,37.586282999999995,15.49075
HYPERPRO,20240814,101100,2024-08-14,2024-08-14T08:11:00Z,37.581799999999994,15.485500000000002
Hyp,20240814,101100,2024-08-14,2024-08-14T08:11:00Z,37.580999999999996,15.4845
Hyp,20240814,102100,2024-08-14,2024-08-14T08:21:00Z,37.577766999999994,15.480550000000001
Hyp,20240815,094500,2024-08-15,2024-08-15T07:45:00Z,38.537150000000004,15.3838
HYPERPRO,20240815,100000,2024-08-15,2024-08-15T08:00:00Z,38.535700000000006,15.381400000000001
Hyp,20240808,065700,2024-08-08,2024-08-08T04:57:00Z,36.074616999999996,23.229217
TRIOS,20240808,065445,2024-08-08,2024-08-08T04:54:45Z,36.072849,23.235899
Hyp,20240809,073700,2024-08-09,2024-08-09T05:37:00Z,36.0163,22.401483
TRIOS,20240809,073934,2024-08-09,2024-08-09T05:39:34Z,36.015972000000005,22.400873
Hyp,20240809,074500,2024-08-09,2024-08-09T05:45:00Z,36.01495,22.400667
Hyp,20240809,093000,2024-08-09,2024-08-09T07:30:00Z,36.0155,22.385299999999997
TRIOS,20240809,093222,2024-08-09,2024-08-09T07:32:22Z,36.002848,22.405568999999996
Hyp,20240810,073600,2024-08-10,2024-08-10T05:36:00Z,35.983117,19.497817
TRIOS,20240810,073354,2024-08-10,2024-08-10T05:33:54Z,35.982668999999994,19.506292
Hyp,20240810,113000,2024-08-10,2024-08-10T09:30:00Z,35.909317,19.374117000000002
TRIOS,20240810,113703,2024-08-10,2024-08-10T09:37:03Z,35.909326,19.361476
Hyp,20240810,114500,2024-08-10,2024-08-10T09:45:00Z,35.9094,19.3462
TRIOS,20240810,114709,2024-08-10,2024-08-10T09:47:09Z,35.909440999999994,19.339481000000003
Hyp,20240810,120000,2024-08-10,2024-08-10T10:00:00Z,35.90995,19.312732999999998
TRIOS,20240810,120235,2024-08-10,2024-08-10T10:02:35Z,35.910015,19.306159
Hyp,20240810,123000,2024-08-10,2024-08-10T10:30:00Z,35.91068299999999,19.24585
TRIOS,20240810,122936,2024-08-10,2024-08-10T10:29:36Z,35.91064599999999,19.246183
Hyp,20240810,124500,2024-08-10,2024-08-10T10:45:00Z,35.911117,19.212332999999997
TRIOS,20240810,124602,2024-08-10,2024-08-10T10:46:02Z,35.91108699999999,19.210498
Hyp,20240810,131500,2024-08-10,2024-08-10T11:15:00Z,35.9121,19.134100000000004
TRIOS,20240810,131307,2024-08-10,2024-08-10T11:13:07Z,35.91197699999999,19.140775
Hyp,20240810,134500,2024-08-10,2024-08-10T11:45:00Z,35.913616999999995,19.061617
