file_name,sensor_X,sensor_Y,var_name,comp_sensors,dateTime_X,dateTime_Y,Slope,Error,Bias,val_filter
HYPERNETS_vs_TRIOS_vs_20240813T082000_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-13T06:20:00Z,2024-08-13T06:18:14Z,1.22,56.31,-56.31,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T144100_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-13T12:41:00Z,2024-08-13T12:42:50Z,0.93,108.94,-108.94,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240815T092000_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-15T07:20:00Z,2024-08-15T07:18:00Z,0.92,53.24,-53.24,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240810T073600_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-10T05:36:00Z,2024-08-10T05:33:54Z,0.96,98.78,-98.78,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240810T131500_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-10T11:15:00Z,2024-08-10T11:13:07Z,1.15,75.74,-75.74,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240810T134500_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-10T11:45:00Z,2024-08-10T11:44:26Z,1.08,63.78,-63.78,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240810T144500_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-10T12:45:00Z,2024-08-10T12:44:14Z,1.14,115.65,-115.65,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240812T120000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-12T10:00:00Z,2024-08-12T10:02:32Z,0.91,95.27,-95.27,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T142000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-13T12:20:00Z,2024-08-13T12:20:33Z,1.1,55.24,-55.24,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T143000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-13T12:30:00Z,2024-08-13T12:32:09Z,1.01,66.87,-66.87,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T144100_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-13T12:41:00Z,2024-08-13T12:42:50Z,0.99,110.2,-110.2,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240814T071700_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-14T05:17:00Z,2024-08-14T05:02:56Z,0.73,101.6,-101.6,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240814T114100_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-14T09:41:00Z,2024-08-14T09:44:34Z,0.99,85.81,-85.81,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240815T091000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-15T07:10:00Z,2024-08-15T07:07:50Z,1.06,16.07,16.07,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240815T092000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-15T07:20:00Z,2024-08-15T07:18:00Z,1.02,13.04,13.04,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240816T081000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-16T06:10:00Z,2024-08-16T06:08:14Z,1.01,12.59,11.63,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240816T083100_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-16T06:31:00Z,2024-08-16T06:29:04Z,0.97,4.27,3.97,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240816T090000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-16T07:00:00Z,2024-08-16T07:02:33Z,1.04,9.12,9.06,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240817T090600_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-17T07:06:00Z,2024-08-17T07:07:53Z,0.9,11.19,10.88,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240817T092100_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-17T07:21:00Z,2024-08-17T07:23:28Z,0.94,7.61,6.1,Negative HypStar values
HYPERNETS_vs_HYPERPRO_vs_20240812T104500_LW.csv,HYPERPRO,Hyp,LW,HYPERPRO vs Hyp,2024-08-12T08:53:00Z,2024-08-12T08:45:00Z,0.85,29.09,29.09,Manual image check
HYPERNETS_vs_TRIOS_vs_20240815T091000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-15T07:10:00Z,2024-08-15T07:07:50Z,1.06,16.07,16.07,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240815T092000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-15T07:20:00Z,2024-08-15T07:18:00Z,1.02,13.04,13.04,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240816T081000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-16T06:10:00Z,2024-08-16T06:08:14Z,1.01,12.59,11.63,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240816T083100_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-16T06:31:00Z,2024-08-16T06:29:04Z,0.97,4.27,3.97,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240816T090000_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-16T07:00:00Z,2024-08-16T07:02:33Z,1.04,9.12,9.06,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240817T090600_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-17T07:06:00Z,2024-08-17T07:07:53Z,0.9,11.19,10.88,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240817T092100_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-17T07:21:00Z,2024-08-17T07:23:28Z,0.94,7.61,6.1,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240815T091000_RHOW.csv,Hyp,TRIOS,RHOW,Hyp vs TRIOS,2024-08-15T07:10:00Z,2024-08-15T07:07:50Z,1.11,15.83,15.83,Negative HypStar values
HYPERNETS_vs_TRIOS_vs_20240815T091000_RHOW.csv,Hyp,TRIOS,RHOW,Hyp vs TRIOS,2024-08-15T07:10:00Z,2024-08-15T07:07:50Z,1.11,15.83,15.83,Negative HypStar values
