file_name,sensor_X,sensor_Y,var_name,comp_sensors,dateTime_X,dateTime_Y,Slope,Error,Bias,val_filter
TRIOS_vs_S3A_vs_20240818T092817_RHOW.csv,TRIOS,S3A,RHOW,TRIOS vs S3A,2024-08-18T07:28:17Z,2024-08-18T07:31:14Z,1.11,50.8,50.8,Error >= 50%
HYPERNETS_vs_VIIRS_N_vs_20240813T100100_RHOW.csv,Hyp,VIIRS_N,RHOW,Hyp vs VIIRS_N,2024-08-13T08:01:00Z,2024-08-13T09:48:00Z,0.9,84.91,84.91,Error >= 50%
HYPERNETS_vs_VIIRS_N_vs_20240813T102100_RHOW.csv,Hyp,VIIRS_N,RHOW,Hyp vs VIIRS_N,2024-08-13T08:21:00Z,2024-08-13T09:48:00Z,0.97,97.68,97.68,Error >= 50%
TRIOS_vs_VIIRS_N_vs_20240812T121332_RHOW.csv,TRIOS,VIIRS_N,RHOW,TRIOS vs VIIRS_N,2024-08-12T10:13:32Z,2024-08-12T10:06:00Z,0.6,29.77,29.77,CV >= 20%
HYPERNETS_vs_AQUA_vs_20240815T130000_RHOW.csv,Hyp,AQUA,RHOW,Hyp vs AQUA,2024-08-15T11:00:00Z,2024-08-15T10:45:01Z,0.7,61.75,-61.75,Error >= 50%
HYPERNETS_vs_AQUA_vs_20240815T132000_RHOW.csv,Hyp,AQUA,RHOW,Hyp vs AQUA,2024-08-15T11:20:00Z,2024-08-15T10:45:01Z,0.71,61.24,-61.24,Error >= 50%
HYPERNETS_vs_AQUA_vs_20240815T133000_RHOW.csv,Hyp,AQUA,RHOW,Hyp vs AQUA,2024-08-15T11:30:00Z,2024-08-15T10:45:01Z,0.7,62.7,-62.7,Error >= 50%
HYPERNETS_vs_AQUA_vs_20240815T134200_RHOW.csv,Hyp,AQUA,RHOW,Hyp vs AQUA,2024-08-15T11:42:00Z,2024-08-15T10:45:01Z,0.7,62.83,-62.83,Error >= 50%
HYPERNETS_vs_AQUA_vs_20240815T140000_RHOW.csv,Hyp,AQUA,RHOW,Hyp vs AQUA,2024-08-15T12:00:00Z,2024-08-15T10:45:01Z,0.66,75.6,-75.6,Error >= 50%
HYPERNETS_vs_PACE_V30_vs_20240814T114100_RHOW.csv,Hyp,PACE_V30,RHOW,Hyp vs PACE_V30,2024-08-14T09:41:00Z,2024-08-14T10:05:12Z,0.79,61.17,-61.17,Error >= 50%
HYPERNETS_vs_PACE_V30_vs_20240815T103000_RHOW.csv,Hyp,PACE_V30,RHOW,Hyp vs PACE_V30,2024-08-15T08:30:00Z,2024-08-15T09:06:24Z,0.72,51.8,-51.8,Error >= 50%
HYPERNETS_vs_PACE_V30_vs_20240815T130000_RHOW.csv,Hyp,PACE_V30,RHOW,Hyp vs PACE_V30,2024-08-15T11:00:00Z,2024-08-15T09:06:24Z,0.66,70.11,-70.11,Error >= 50%
TRIOS_vs_PACE_V30_vs_20240815T090750_RHOW.csv,TRIOS,PACE_V30,RHOW,TRIOS vs PACE_V30,2024-08-15T07:07:50Z,2024-08-15T09:06:24Z,0.71,56.82,-56.82,Error >= 50%
TRIOS_vs_PACE_V30_vs_20240815T115408_RHOW.csv,TRIOS,PACE_V30,RHOW,TRIOS vs PACE_V30,2024-08-15T09:54:08Z,2024-08-15T09:06:24Z,0.71,62.84,-62.84,Error >= 50%
HYPERNETS_vs_PACE_V30_vs_20240814T123100_RHOW.csv,Hyp,PACE_V30,RHOW,Hyp vs PACE_V30,2024-08-14T10:31:00Z,2024-08-14T10:05:12Z,0.73,77.64,-77.64,CV >= 20%
HYPERNETS_vs_PACE_V30_vs_20240815T112000_RHOW.csv,Hyp,PACE_V30,RHOW,Hyp vs PACE_V30,2024-08-15T09:20:00Z,2024-08-15T09:06:24Z,0.67,70.52,-70.52,CV >= 20%
TRIOS_vs_PACE_V30_vs_20240815T110740_RHOW.csv,TRIOS,PACE_V30,RHOW,TRIOS vs PACE_V30,2024-08-15T09:07:40Z,2024-08-15T09:06:24Z,0.65,76.22,-76.22,CV >= 20%
TRIOS_vs_PACE_V30_vs_20240815T111757_RHOW.csv,TRIOS,PACE_V30,RHOW,TRIOS vs PACE_V30,2024-08-15T09:17:57Z,2024-08-15T09:06:24Z,0.66,74.79,-74.79,CV >= 20%
HYPERPRO_vs_PACE_V30_vs_20240815T100000_RHOW.csv,HYPERPRO,PACE_V30,RHOW,HYPERPRO vs PACE_V30,2024-08-15T08:00:00Z,2024-08-15T09:06:24Z,0.67,78.64,-78.64,CV >= 20%
