var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dateTime_X,dateTime_Y,diff_time,n,Slope,RMSE,MAPE,Bias,Error
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240810T134500_RHOW.csv,Hyp,VIIRS_N,19.061617,35.913617,19.093437,35.887611,4.08,2024-08-10T11:45:00Z,2024-08-10T10:48:00Z,57,5,1.03,0.0015,28.3,-7.3,7.3
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240810T134500_RHOW.csv,VIIRS_N,Hyp,19.093437,35.887611,19.061617,35.913617,4.08,2024-08-10T10:48:00Z,2024-08-10T11:45:00Z,57,5,0.96,0.0015,2811.1,7.3,7.3
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240810T143000_RHOW.csv,Hyp,VIIRS_N,18.95565,35.915467,18.990477,35.885956,4.54,2024-08-10T12:30:00Z,2024-08-10T10:48:00Z,102,5,1.03,0.0046,38,-27.9,27.9
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240810T143000_RHOW.csv,VIIRS_N,Hyp,18.990477,35.885956,18.95565,35.915467,4.54,2024-08-10T10:48:00Z,2024-08-10T12:30:00Z,102,5,0.96,0.0046,838.6,27.9,27.9
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240810T144500_RHOW.csv,Hyp,VIIRS_N,18.922217,35.9153,18.95643,35.885391,4.54,2024-08-10T12:45:00Z,2024-08-10T10:48:00Z,117,5,1.06,0.0017,24.9,-10.5,10.5
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240810T144500_RHOW.csv,VIIRS_N,Hyp,18.95643,35.885391,18.922217,35.9153,4.54,2024-08-10T10:48:00Z,2024-08-10T12:45:00Z,117,5,0.94,0.0017,157.3,10.5,10.5
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240811T074900_RHOW.csv,Hyp,VIIRS_N,16.613517,36.048567,16.532101,36.013756,8.29,2024-08-11T05:49:00Z,2024-08-11T08:48:01Z,179,5,1.18,0.0038,14.2,14.8,14.8
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240811T074900_RHOW.csv,VIIRS_N,Hyp,16.532101,36.013756,16.613517,36.048567,8.29,2024-08-11T08:48:01Z,2024-08-11T05:49:00Z,179,5,0.84,0.0038,12.9,-14.8,14.8
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240811T091600_RHOW.csv,Hyp,VIIRS_N,16.499767,36.0423,16.535986,36.026093,3.73,2024-08-11T07:16:00Z,2024-08-11T08:48:01Z,92,5,1.32,0.0059,28.6,20.1,27.4
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240811T091600_RHOW.csv,VIIRS_N,Hyp,16.535986,36.026093,16.499767,36.0423,3.73,2024-08-11T08:48:01Z,2024-08-11T07:16:00Z,92,5,0.75,0.0059,32,-20.1,27.4
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240811T111600_RHOW.csv,Hyp,VIIRS_N,16.4092,36.04515,16.435709,36.048664,2.42,2024-08-11T09:16:00Z,2024-08-11T10:30:00Z,74,5,1.19,0.0035,15.5,10.8,17.6
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240811T111600_RHOW.csv,VIIRS_N,Hyp,16.435709,36.048664,16.4092,36.04515,2.42,2024-08-11T10:30:00Z,2024-08-11T09:16:00Z,74,5,0.84,0.0035,14.9,-10.8,17.6
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T095200_RHOW.csv,Hyp,VIIRS_N,15.165133,36.586,17.86989,38.304047,306.11,2024-08-12T07:52:00Z,2024-08-12T08:30:01Z,38,5,1.63,0.0116,73.9,63.1,63.1
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T095200_RHOW.csv,VIIRS_N,Hyp,17.86989,38.304047,15.165133,36.586,306.11,2024-08-12T08:30:01Z,2024-08-12T07:52:00Z,38,5,0.6,0.0116,40.3,-63.1,63.1
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T104500_RHOW.csv,Hyp,VIIRS_N,15.143233,36.57005,15.175994,36.567913,2.94,2024-08-12T08:45:00Z,2024-08-12T10:06:00Z,81,5,1.28,0.0043,23.8,11.2,24
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T104500_RHOW.csv,VIIRS_N,Hyp,15.175994,36.567913,15.143233,36.57005,2.94,2024-08-12T10:06:00Z,2024-08-12T08:45:00Z,81,5,0.77,0.0043,27.7,-11.2,24
