var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
RHOW,HYPERNETS_vs_S3B_V4_vs_20240808T065700_RHOW.csv,Hyp,S3B,23.229217,36.074616999999996,23.224508,36.081278999999995,0.85,10,2024-08-08T08:57:00Z,2024-08-08T10:11:23Z,74,120,10,1.2284,0.9848,1.1774,1.2302,1.2852,-8.5e-4,-2.05e-4,4.12e-4,NA,TRUE,FALSE,0.003777,0.002492,23.6749,0.161265,0.21287,0.273127,0.161265,0.21287,0.273127,16.1199,21.2693,27.3103,16.1199,21.2693,27.3103
RHOW,HYPERNETS_vs_S3B_V4_vs_20240808T065700_RHOW.csv,S3B,Hyp,23.224508,36.081278999999995,23.229217,36.074616999999996,0.85,10,2024-08-08T10:11:23Z,2024-08-08T08:57:00Z,74,120,10,0.8117,1.0138,0.7781,0.8129,0.8493,-3.5e-4,1.67e-4,6.62e-4,NA,TRUE,FALSE,0.003777,0.002492,18.6217,-0.214503,-0.175268,-0.138773,0.138773,0.175268,0.214503,-27.3103,-21.2693,-16.1199,16.1199,21.2693,27.3103
RHOW,HYPERNETS_vs_S3B_V4_vs_20240813T102100_RHOW.csv,Hyp,S3B,15.64745,36.857549999999996,15.642944,36.865272000000004,0.95,10,2024-08-13T12:21:00Z,2024-08-13T11:22:25Z,59,120,10,1.6832,0.5392,1.569,1.6902,1.8208,0.003042,0.004416,0.005691,NA,TRUE,TRUE,0.013871,0.011675,489.2253,0.883011,1.89616,10.386829,0.883011,1.89616,10.386829,88.2188,185.1511,1032.5113,88.2188,185.1511,1032.5113
RHOW,HYPERNETS_vs_S3B_V4_vs_20240813T102100_RHOW.csv,S3B,Hyp,15.642944,36.865272000000004,15.64745,36.857549999999996,0.95,10,2024-08-13T11:22:25Z,2024-08-13T12:21:00Z,59,120,10,0.5892,1.8283,0.5492,0.5916,0.6373,-0.003627,-0.002612,-0.001671,NA,TRUE,TRUE,0.013871,0.011675,67.742,-0.911178,-0.643818,-0.468477,0.468477,0.643818,0.911178,-1032.5113,-185.1511,-88.2188,88.2188,185.1511,1032.5113
RHOW,HYPERNETS_vs_S3B_V4_vs_20240814T101100_RHOW.csv,Hyp,S3B,15.4845,37.580999999999996,15.478984,37.587672999999995,0.89,10,2024-08-14T12:11:00Z,2024-08-14T10:56:14Z,75,120,9,1.0149,1.636,0.9759,1.016,1.0578,-0.001726,-0.00106,-4.2e-4,NA,FALSE,TRUE,0.001073,9.83e-4,34.6994,-0.693589,-0.143372,-0.025424,0.025424,0.143372,0.693589,-226.359,-16.7368,-2.6087,2.6087,16.7368,226.359
RHOW,HYPERNETS_vs_S3B_V4_vs_20240814T101100_RHOW.csv,S3B,Hyp,15.478984,37.587672999999995,15.4845,37.580999999999996,0.89,10,2024-08-14T10:56:14Z,2024-08-14T12:11:00Z,75,120,9,0.9833,0.5884,0.9454,0.9843,1.0247,4.31e-4,0.001043,0.001631,NA,FALSE,TRUE,0.001073,9.83e-4,475.052,0.026087,0.167368,2.26359,0.026087,0.167368,2.26359,2.6087,16.7368,226.359,2.6087,16.7368,226.359
RHOW,HYPERNETS_vs_S3B_V4_vs_20240814T102100_RHOW.csv,Hyp,S3B,15.480550000000001,37.577766999999994,15.477867,37.582513000000006,0.58,10,2024-08-14T12:21:00Z,2024-08-14T10:56:14Z,85,120,10,1.0184,1.4025,0.9894,1.019,1.0495,-0.001208,-7.68e-4,-3.41e-4,NA,FALSE,TRUE,7.85e-4,6.98e-4,33.6792,-0.665864,-0.144553,-0.026048,0.037475,0.144553,0.665864,-207.0513,-17.0222,-2.7057,3.851,17.0222,207.0513
RHOW,HYPERNETS_vs_S3B_V4_vs_20240814T102100_RHOW.csv,S3B,Hyp,15.477867,37.582513000000006,15.480550000000001,37.577766999999994,0.58,10,2024-08-14T10:56:14Z,2024-08-14T12:21:00Z,85,120,10,0.9807,0.6974,0.9528,0.9813,1.0107,3.45e-4,7.54e-4,0.001151,NA,FALSE,TRUE,7.85e-4,6.98e-4,176.7521,0.027375,0.171466,2.137927,0.038133,0.171466,2.137927,2.7057,17.0222,207.0513,3.851,17.0222,207.0513
RHOW,HYPERNETS_vs_S3B_V4_vs_20240814T103000_RHOW.csv,Hyp,S3B,15.480550000000001,37.577766999999994,15.477867,37.582513000000006,0.58,10,2024-08-14T12:30:00Z,2024-08-14T10:56:14Z,94,120,10,1.0181,1.4618,0.988,1.0188,1.0506,-0.001326,-8.65e-4,-4.17e-4,NA,FALSE,TRUE,8.64e-4,8.03e-4,35.3922,-0.712592,-0.151827,-0.030067,0.039007,0.151827,0.712592,-259.3278,-18.048,-3.1299,4.0138,18.048,259.3278
RHOW,HYPERNETS_vs_S3B_V4_vs_20240814T103000_RHOW.csv,S3B,Hyp,15.477867,37.582513000000006,15.480550000000001,37.577766999999994,0.58,10,2024-08-14T10:56:14Z,2024-08-14T12:30:00Z,94,120,10,0.9808,0.6665,0.9518,0.9815,1.0121,4.22e-4,8.49e-4,0.001262,NA,FALSE,TRUE,8.64e-4,8.03e-4,217.536,0.031605,0.181956,2.6908,0.039737,0.181956,2.6908,3.1299,18.048,259.3278,4.0138,18.048,259.3278
