var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
RHOW,HYPERNETS_vs_AQUA_vs_20240810T120000_RHOW.csv,AQUA,Hyp,19.336521,35.895802,19.312732999999998,35.90995,2.66,10,2024-08-10T14:40:01Z,2024-08-10T14:00:00Z,40,120,8,0.9727,0.8441,0.9425,0.9732,1.0049,1.32e-4,6.78e-4,0.001208,NA,FALSE,TRUE,6.52e-4,5.4e-4,24.8072,0.007122,0.031925,0.283525,0.023503,0.033496,0.283525,0.7119,3.192,24.7249,2.3466,3.4013,24.7249
RHOW,HYPERNETS_vs_AQUA_vs_20240810T123000_RHOW.csv,Hyp,AQUA,19.24585,35.91068299999999,19.274744,35.897434,2.99,10,2024-08-10T14:30:00Z,2024-08-10T14:40:01Z,10,120,8,0.9616,1.2613,0.9376,0.9619,0.9868,-0.001373,-8.99e-4,-4.37e-4,NA,TRUE,TRUE,0.001769,0.001623,21.974,-0.264328,-0.098716,-0.074297,0.074297,0.098716,0.264328,-42.639,-10.9544,-8.026,8.026,10.9544,42.639
RHOW,HYPERNETS_vs_AQUA_vs_20240810T123000_RHOW.csv,AQUA,Hyp,19.274744,35.897434,19.24585,35.91068299999999,2.99,10,2024-08-10T14:40:01Z,2024-08-10T14:30:00Z,10,120,8,1.0392,0.785,1.0133,1.0396,1.0665,4.66e-4,9.34e-4,0.001391,NA,TRUE,TRUE,0.001769,0.001623,46.5275,0.08026,0.109559,0.517402,0.08026,0.109559,0.517402,8.026,10.9544,42.639,8.026,10.9544,42.639
RHOW,HYPERNETS_vs_AQUA_vs_20240810T124500_RHOW.csv,Hyp,AQUA,19.212332999999997,35.911117,19.249054,35.903618,3.41,10,2024-08-10T14:45:00Z,2024-08-10T14:40:01Z,5,120,8,0.9873,1.0472,0.9538,0.9879,1.0232,-8.35e-4,-2.13e-4,3.88e-4,NA,FALSE,FALSE,6.96e-4,5.54e-4,7.5524,-0.081052,-0.040639,-0.02124,0.03231,0.044921,0.081052,-8.9747,-4.2395,-2.1843,3.3389,4.6143,8.9747
RHOW,HYPERNETS_vs_AQUA_vs_20240810T124500_RHOW.csv,AQUA,Hyp,19.249054,35.903618,19.212332999999997,35.911117,3.41,10,2024-08-10T14:40:01Z,2024-08-10T14:45:00Z,5,120,8,1.0116,0.9536,0.9773,1.0122,1.0484,-4.07e-4,2.15e-4,8.16e-4,NA,FALSE,FALSE,6.96e-4,5.54e-4,8.854,0.021983,0.042429,0.091361,0.03339,0.045331,0.091361,2.1843,4.2395,8.9747,3.3389,4.6143,8.9747
RHOW,HYPERNETS_vs_AQUA_vs_20240810T131500_RHOW.csv,Hyp,AQUA,19.134100000000004,35.9121,19.157837000000004,35.899639,2.55,10,2024-08-10T15:15:00Z,2024-08-10T14:40:01Z,35,120,8,0.9456,1.5565,0.9114,0.9462,0.9824,-0.003031,-0.002316,-0.001628,NA,TRUE,TRUE,0.00351,0.003378,34.5537,-0.441188,-0.236845,-0.136589,0.136589,0.236845,0.441188,-101.3748,-31.6566,-15.8201,15.8201,31.6566,101.3748
RHOW,HYPERNETS_vs_AQUA_vs_20240810T131500_RHOW.csv,AQUA,Hyp,19.157837000000004,35.899639,19.134100000000004,35.9121,2.55,10,2024-08-10T14:40:01Z,2024-08-10T15:15:00Z,35,120,8,1.0561,0.6285,1.0179,1.0568,1.0972,0.001787,0.002448,0.003085,NA,TRUE,TRUE,0.00351,0.003378,124.16,0.158205,0.322813,1.399127,0.158205,0.322813,1.399127,15.8201,31.6566,101.3748,15.8201,31.6566,101.3748
RHOW,HYPERNETS_vs_AQUA_vs_20240810T134500_RHOW.csv,Hyp,AQUA,19.061617,35.913616999999995,19.085040999999997,35.899882999999996,2.61,10,2024-08-10T15:45:00Z,2024-08-10T14:40:01Z,65,120,8,0.9734,1.1932,0.9307,0.9745,1.0202,-0.0015,-7.09e-4,4.6e-5,NA,FALSE,FALSE,0.001361,0.001151,18.2614,-0.219552,-0.080977,-0.065935,0.065935,0.080977,0.219552,-31.8515,-8.8235,-7.059,7.059,8.8235,31.8515
RHOW,HYPERNETS_vs_AQUA_vs_20240810T134500_RHOW.csv,AQUA,Hyp,19.085040999999997,35.899882999999996,19.061617,35.913616999999995,2.61,10,2024-08-10T14:40:01Z,2024-08-10T15:45:00Z,65,120,8,1.0251,0.8336,0.9802,1.0262,1.0744,-4.9e-5,7.28e-4,0.00147,NA,FALSE,FALSE,0.001361,0.001151,32.6247,0.07059,0.088359,0.365,0.07059,0.088359,0.365,7.059,8.8235,31.8515,7.059,8.8235,31.8515
RHOW,HYPERNETS_vs_AQUA_vs_20240813T132000_RHOW.csv,Hyp,AQUA,15.405917,37.128400000000006,15.360278,37.184295999999996,7.42,10,2024-08-13T15:20:00Z,2024-08-13T15:05:00Z,15,120,6,0.9463,1.1796,0.9104,0.9466,0.9843,-0.00285,-0.002057,-0.001295,NA,TRUE,TRUE,0.003237,0.00318,19.2007,-0.271273,-0.144196,-0.130711,0.130711,0.144196,0.271273,-37.7514,-16.863,-15.0366,15.0366,16.863,37.7514
