var_name,n_clean,n_no_out,n_w_nm,sensor_X,sensor_Y,Wavelength_nm,Slope,Slope_log,Bias,Error,RMSE,MSA,MAPE
RHOW,27,27,27,HYPERNETS,PACE_V2,412,0.65,0.66,-0.2,7.66,0.004575,0.00347,10.8
RHOW,27,27,27,PACE_V2,HYPERNETS,412,0.74,0.71,0.2,7.66,0.004575,0.00347,11
RHOW,27,27,27,HYPERNETS,PACE_V2,443,0.54,0.53,2.56,7.83,0.003603,0.00284,10.11
RHOW,27,27,27,PACE_V2,HYPERNETS,443,0.7,0.68,-2.56,7.83,0.003603,0.00284,9.71
RHOW,27,27,27,HYPERNETS,PACE_V2,490,0.01,-0.01,6.22,8.73,0.00273,0.002194,11.88
RHOW,27,27,27,PACE_V2,HYPERNETS,490,0.02,-0.03,-6.22,8.73,0.00273,0.002194,10.61
RHOW,27,27,27,HYPERNETS,PACE_V2,510,-0.11,-0.12,8.14,14.4,0.002066,0.001661,17.37
RHOW,27,27,27,PACE_V2,HYPERNETS,510,-0.32,-0.35,-8.14,14.4,0.002066,0.001661,14.73
RHOW,27,27,27,HYPERNETS,PACE_V2,560,-0.04,-0.07,0.63,18.11,0.001274,0.001044,22.46
RHOW,27,27,27,PACE_V2,HYPERNETS,560,-0.26,-0.28,-0.63,18.11,0.001274,0.001044,21.51
RHOW,33,28,28,HYPERNETS,PACE_V30,412,1.02,1.12,2.37,11.99,0.005122,0.004207,13.44
RHOW,33,28,28,PACE_V30,HYPERNETS,412,0.62,0.55,-2.37,11.99,0.005122,0.004207,15.98
RHOW,33,28,28,HYPERNETS,PACE_V30,443,1.01,1.14,-0.58,9.77,0.003783,0.00305,10.93
RHOW,33,28,28,PACE_V30,HYPERNETS,443,0.61,0.55,0.58,9.77,0.003783,0.00305,12.67
RHOW,33,28,28,HYPERNETS,PACE_V30,490,0.88,1.02,-3.25,8.47,0.002572,0.002088,10.83
RHOW,33,28,28,PACE_V30,HYPERNETS,490,0.37,0.33,3.25,8.47,0.002572,0.002088,12.57
RHOW,33,28,28,HYPERNETS,PACE_V30,510,0.42,0.48,-7.13,11.06,0.001954,0.001605,15.42
RHOW,33,28,28,PACE_V30,HYPERNETS,510,0.17,0.14,7.13,11.06,0.001954,0.001605,19.27
RHOW,33,28,28,HYPERNETS,PACE_V30,560,0.26,0.32,-25.26,25.26,0.001379,0.001146,22.86
RHOW,33,28,28,PACE_V30,HYPERNETS,560,0.27,0.16,25.26,25.26,0.001379,0.001146,33.92
RHOW,32,32,32,HYPERNETS,PACE_V31,412,0.58,0.48,11.11,17.34,0.006563,0.005772,18.03
RHOW,32,32,32,PACE_V31,HYPERNETS,412,0.44,0.43,-11.11,17.34,0.006563,0.005772,16.73
RHOW,32,32,32,HYPERNETS,PACE_V31,443,0.45,0.38,7.37,12.98,0.00484,0.004102,14.38
RHOW,32,32,32,PACE_V31,HYPERNETS,443,0.36,0.34,-7.37,12.98,0.00484,0.004102,13.76
RHOW,32,32,32,HYPERNETS,PACE_V31,490,-0.14,-0.19,6.12,14.98,0.003366,0.002758,14.39
RHOW,32,32,32,PACE_V31,HYPERNETS,490,-0.12,-0.16,-6.12,14.98,0.003366,0.002758,13.84
RHOW,32,32,32,HYPERNETS,PACE_V31,510,-0.29,-0.33,8.61,19.24,0.002718,0.002189,21.59
RHOW,32,32,32,PACE_V31,HYPERNETS,510,-0.32,-0.33,-8.61,19.24,0.002718,0.002189,20.27
RHOW,32,32,32,HYPERNETS,PACE_V31,560,-0.18,-0.24,-2.2,28.25,0.001787,0.001341,26.67
RHOW,32,32,32,PACE_V31,HYPERNETS,560,-0.44,-0.38,2.2,28.25,0.001787,0.001341,30.97
RHOW,31,31,31,TRIOS,PACE_V2,412,0.86,0.83,0.73,4.12,0.003114,0.002162,6.97
RHOW,31,31,31,PACE_V2,TRIOS,412,0.85,0.86,-0.73,4.12,0.003114,0.002162,7.45
RHOW,31,31,31,TRIOS,PACE_V2,443,0.85,0.81,1.59,3.72,0.002082,0.001513,5.5
RHOW,31,31,31,PACE_V2,TRIOS,443,0.89,0.9,-1.59,3.72,0.002082,0.001513,5.45
RHOW,31,31,31,TRIOS,PACE_V2,490,0.75,0.72,4.81,5.8,0.001737,0.001421,7.49
RHOW,31,31,31,PACE_V2,TRIOS,490,0.5,0.5,-4.81,5.8,0.001737,0.001421,6.96
RHOW,31,31,31,TRIOS,PACE_V2,510,0.31,0.35,3.2,8.19,0.001241,0.001005,9.54
RHOW,31,31,31,PACE_V2,TRIOS,510,0.1,0.1,-3.2,8.19,0.001241,0.001005,9.42
RHOW,31,31,31,TRIOS,PACE_V2,560,-0.22,-0.21,13.29,20.39,9.85e-4,8.43e-4,20.63
RHOW,31,31,31,PACE_V2,TRIOS,560,-0.15,-0.15,-13.29,20.39,9.85e-4,8.43e-4,17.74
RHOW,38,34,34,TRIOS,PACE_V30,412,0.9,0.87,2.82,9.07,0.00543,0.004357,14.54
RHOW,38,34,34,PACE_V30,TRIOS,412,0.58,0.5,-2.82,9.07,0.00543,0.004357,17.49
RHOW,38,34,34,TRIOS,PACE_V30,443,0.91,0.93,0.18,5.63,0.003961,0.002905,10.71
RHOW,38,34,34,PACE_V30,TRIOS,443,0.59,0.52,-0.18,5.63,0.003961,0.002905,12.91
RHOW,38,34,34,TRIOS,PACE_V30,490,0.99,1.05,-2.72,5.9,0.002573,0.001892,9.94
RHOW,38,34,34,PACE_V30,TRIOS,490,0.31,0.28,2.72,5.9,0.002573,0.001892,12.04
