var_name,sensor_X,sensor_Y,wavelength,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
LU,HYPERNETS,TRIOS,388,55,46,46,46,0.9988,0.9222,0.9558,1.0448,1.142,-0.16384,0.575574,1.252027,NA,FALSE,FALSE,1.097079,0.959992,13.4181,0.097697,0.123057,0.161019,0.097697,0.123057,0.161019,9.7697,12.3056,16.1017,9.8768,12.3056,16.1017
LU,TRIOS,HYPERNETS,388,55,46,46,46,0.915,0.9853,0.8756,0.9571,1.0462,-1.309881,-0.550895,0.143462,NA,FALSE,FALSE,1.097079,0.959992,11.4121,-0.138684,-0.109571,-0.089002,0.089889,0.109571,0.138684,-16.1017,-12.3056,-9.7697,9.8768,12.3056,16.1017
LU,HYPERNETS,TRIOS,389,55,46,46,46,0.9488,0.9173,0.908,0.994,1.0881,-0.146519,0.612197,1.305294,NA,FALSE,FALSE,0.845396,0.729325,9.655,0.045275,0.074938,0.101846,0.054745,0.075184,0.111837,4.5274,7.4938,10.1838,5.5565,7.5184,11.1828
LU,TRIOS,HYPERNETS,389,55,46,46,46,0.9603,0.9878,0.919,1.006,1.1013,-1.437506,-0.615896,0.134656,NA,FALSE,FALSE,0.845396,0.729325,8.6208,-0.09242,-0.069714,-0.043313,0.053751,0.072782,0.100573,-10.1838,-7.4938,-4.5274,5.5565,7.5184,11.1828
LU,HYPERNETS,TRIOS,390,55,46,46,46,0.9479,0.919,0.9072,0.9933,1.0876,-0.154734,0.613198,1.314553,NA,FALSE,FALSE,0.847412,0.729866,9.5442,0.047257,0.071336,0.103029,0.054005,0.072458,0.108891,4.7257,7.1335,10.3025,5.4102,7.2572,10.8888
LU,TRIOS,HYPERNETS,390,55,46,46,46,0.9607,0.9855,0.9195,1.0067,1.1023,-1.449047,-0.617334,0.142272,NA,FALSE,FALSE,0.847412,0.729866,8.5301,-0.093399,-0.066585,-0.045125,0.053655,0.069958,0.098194,-10.3025,-7.1335,-4.7257,5.4102,7.2572,10.8888
LU,HYPERNETS,TRIOS,391,55,46,46,46,0.9583,0.9201,0.9171,1.0035,1.0981,-0.157772,0.611857,1.31521,NA,FALSE,FALSE,0.901519,0.781664,10.2499,0.057412,0.079529,0.112803,0.060449,0.080616,0.120227,5.7411,7.9529,11.2801,6.2533,8.0616,12.0221
LU,TRIOS,HYPERNETS,391,55,46,46,46,0.9516,0.9853,0.9107,0.9965,1.0904,-1.43411,-0.609719,0.143681,NA,FALSE,FALSE,0.901519,0.781664,9.0687,-0.101364,-0.07367,-0.054293,0.059113,0.074601,0.107315,-11.2801,-7.9529,-5.7411,6.2533,8.0616,12.0221
LU,HYPERNETS,TRIOS,392,55,46,46,46,0.9795,0.9211,0.9374,1.0249,1.1207,-0.18161,0.590545,1.29673,NA,FALSE,FALSE,1.011563,0.882318,11.6859,0.075484,0.100308,0.13178,0.077743,0.1013,0.13178,7.5483,10.0308,13.1769,7.7742000000000004,10.13,13.4593
LU,TRIOS,HYPERNETS,392,55,46,46,46,0.9325,0.9848,0.8923,0.9757,1.0668,-1.383384,-0.576183,0.162054,NA,FALSE,FALSE,1.011563,0.882318,10.1464,-0.116418,-0.091163,-0.070185,0.072134,0.091982,0.124984,-13.1769,-10.0308,-7.5483,7.7742000000000004,10.13,13.4593
LU,HYPERNETS,TRIOS,393,55,46,46,46,1.0087,0.92,0.9653,1.0553,1.1537,-0.162725,0.623624,1.342909,NA,FALSE,FALSE,1.243617,1.095494,14.5472,0.108773,0.136125,0.17288,0.108773,0.136125,0.17288,10.8773,13.6125,17.2869,10.8773,13.6125,17.2869
LU,TRIOS,HYPERNETS,393,55,46,46,46,0.9058,0.9872,0.8668,0.9476,1.036,-1.391207,-0.590955,0.141049,NA,FALSE,FALSE,1.243617,1.095494,12.2397,-0.147382,-0.119815,-0.098102,0.098102,0.119815,0.147382,-17.2869,-13.6125,-10.8773,10.8773,13.6125,17.2869
LU,HYPERNETS,TRIOS,394,55,46,46,46,1.0276,0.9219,0.9833,1.0744,1.1738,-0.159007,0.638976,1.369346,NA,FALSE,FALSE,1.397698,1.252645,16.4407,0.132883,0.155426,0.191549,0.132883,0.155426,0.191549,13.2882,15.5425,19.1549,13.2882,15.5425,19.1549
LU,TRIOS,HYPERNETS,394,55,46,46,46,0.8903,0.9864,0.8519,0.9308,1.0169,-1.392544,-0.594744,0.135459,NA,FALSE,FALSE,1.397698,1.252645,13.6297,-0.160756,-0.134517,-0.117295,0.117295,0.134517,0.160756,-19.1549,-15.5425,-13.2882,13.2882,15.5425,19.1549
LU,HYPERNETS,TRIOS,395,55,46,46,46,1.0354,0.9215,0.9908,1.0829,1.1836,-0.170118,0.649055,1.398548,NA,FALSE,FALSE,1.484115,1.340272,17.307,0.140112,0.163859,0.201337,0.140112,0.163859,0.201337,14.0111,16.3859,20.1334,14.0111,16.3859,20.1334
LU,TRIOS,HYPERNETS,395,55,46,46,46,0.8829,0.985,0.8449,0.9234,1.0093,-1.411554,-0.599368,0.143732,NA,FALSE,FALSE,1.484115,1.340272,14.2571,-0.16759,-0.140789,-0.122892,0.122892,0.140789,0.16759,-20.1334,-16.3859,-14.0111,14.0111,16.3859,20.1334
LU,HYPERNETS,TRIOS,396,55,46,46,46,1.049,0.9205,1.0038,1.0974,1.1998,-0.146324,0.709412,1.492136,NA,TRUE,FALSE,1.679931,1.536004,19.2192,0.155659,0.184064,0.224218,0.155659,0.184064,0.224218,15.5659,18.4064,22.4212,15.5659,18.4064,22.4212
LU,TRIOS,HYPERNETS,396,55,46,46,46,0.871,0.9858,0.8335,0.9112,0.9962,-1.486475,-0.646423,0.121956,NA,TRUE,FALSE,1.679931,1.536004,15.6065,-0.183144,-0.155451,-0.134692,0.134692,0.155451,0.183144,-22.4212,-18.4064,-15.5659,15.5659,18.4064,22.4212
LU,HYPERNETS,TRIOS,397,55,46,46,46,1.0426,0.9159,0.9976,1.0897,1.1903,-0.116575,0.764126,1.570413,NA,FALSE,FALSE,1.711842,1.562779,18.7267,0.151726,0.17991,0.218643,0.151726,0.17991,0.218643,15.1726,17.991,21.8639,15.1726,17.991,21.8639
LU,TRIOS,HYPERNETS,397,55,46,46,46,0.878,0.9924,0.8401,0.9177,1.0024,-1.574157,-0.701229,0.097941,NA,FALSE,FALSE,1.711842,1.562779,15.2623,-0.179409,-0.152478,-0.131738,0.131738,0.152478,0.179409,-21.8639,-17.991,-15.1726,15.1726,17.991,21.8639
LU,HYPERNETS,TRIOS,398,55,46,46,46,0.9321,0.9196,0.8921,0.9762,1.0683,-0.204254,0.73798,1.599018,NA,FALSE,FALSE,0.929003,0.766117,7.9674,0.027986,0.05238,0.082452,0.038177,0.060801,0.090765,2.7986,5.2378,8.2452,3.8176,6.0801,9.5484000000000009
LU,TRIOS,HYPERNETS,398,55,46,46,46,0.9782,0.9866,0.9361,1.0244,1.121,-1.792471,-0.755974,0.191203,NA,FALSE,FALSE,0.929003,0.766117,7.2758,-0.076172,-0.049769,-0.027224,0.037613,0.057316,0.092012,-8.2452,-5.2378,-2.7986,3.8176,6.0801,9.5484000000000009
LU,HYPERNETS,TRIOS,399,55,46,46,46,0.8283,0.9194,0.7927,0.867,0.9483,-0.172444,0.798463,1.686134,NA,TRUE,FALSE,1.237244,0.983845,8.1477,-0.083579,-0.061415,-0.034454,0.050524,0.068317,0.098927,-9.1203,-6.5434,-3.5684,5.3214,7.3326,10.9788
LU,TRIOS,HYPERNETS,399,55,46,46,46,1.1019,0.9878,1.0545,1.1534,1.2615,-2.127065,-0.920912,0.181839,NA,TRUE,FALSE,1.237244,0.983845,8.9768,0.035684,0.065434,0.091205,0.053215,0.07267,0.109788,3.5684,6.5434,9.1203,5.3214,7.3326,10.9788
LU,HYPERNETS,TRIOS,400,55,46,46,46,0.8006,0.9206,0.7662,0.8387,0.9179,-0.201143,0.826393,1.765182,NA,TRUE,FALSE,1.656307,1.396258,10.5407,-0.114614,-0.095153,-0.067419,0.075961,0.097466,0.125118,-12.9452,-10.5159,-7.2293,8.2214,10.7993,14.3037
