file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Bias,Error,MRD,MARD,RMSE,MSA,MAPE
TRIOS_vs_VIIRS_J1_vs_20240813T141327_RHOW.csv,TRIOS,VIIRS_J1,15.331060999999998,37.19951800000001,15.102751,39.860191,296.85,10,2024-08-13T16:13:27Z,2024-08-13T14:18:01Z,115,120,5,0.94,1.26,-6.96,6.96,-0.065103,0.065103,0.001475,0.001161,17.49
TRIOS_vs_VIIRS_J1_vs_20240813T141327_RHOW.csv,VIIRS_J1,TRIOS,15.102751,39.860191,15.331060999999998,37.19951800000001,296.85,10,2024-08-13T14:18:01Z,2024-08-13T16:13:27Z,115,120,5,1.07,0.78,6.96,6.96,0.069636,0.069636,0.001475,0.001161,43.25
TRIOS_vs_VIIRS_J2_vs_20240811T100927_RHOW.csv,TRIOS,VIIRS_J2,16.482825999999996,36.025699,19.985145999999993,38.247879,397.18,10,2024-08-11T12:09:27Z,2024-08-11T12:24:01Z,15,120,5,0.93,0.59,2.32,4.6,0.023237,0.043993,9.65e-4,8.27e-4,149.13
TRIOS_vs_VIIRS_J2_vs_20240811T100927_RHOW.csv,VIIRS_J2,TRIOS,19.985145999999993,38.247879,16.482825999999996,36.025699,397.18,10,2024-08-11T12:24:01Z,2024-08-11T12:09:27Z,15,120,5,1.07,1.64,-2.32,4.6,-0.022709,0.046017,9.65e-4,8.27e-4,22.8
TRIOS_vs_VIIRS_J2_vs_20240811T101955_RHOW.csv,TRIOS,VIIRS_J2,16.479615,36.022641,19.985145999999993,38.247879,397.62,10,2024-08-11T12:19:55Z,2024-08-11T12:24:01Z,4,120,5,0.95,0.86,2.71,2.71,NA,NA,7.25e-4,5.78e-4,10.51
TRIOS_vs_VIIRS_J2_vs_20240811T101955_RHOW.csv,VIIRS_J2,TRIOS,19.985145999999993,38.247879,16.479615,36.022641,397.62,10,2024-08-11T12:24:01Z,2024-08-11T12:19:55Z,4,120,5,1.05,1.16,-2.71,2.71,NA,NA,7.25e-4,5.78e-4,8.38
TRIOS_vs_VIIRS_J2_vs_20240813T141327_RHOW.csv,TRIOS,VIIRS_J2,15.331060999999998,37.19951800000001,15.426665,37.127029,11.71,10,2024-08-13T16:13:27Z,2024-08-13T13:24:00Z,169,120,5,1,1.16,-10.26,10.26,-0.093076,0.093076,0.001784,0.001683,12.27
TRIOS_vs_VIIRS_J2_vs_20240813T141327_RHOW.csv,VIIRS_J2,TRIOS,15.426665,37.127029,15.331060999999998,37.19951800000001,11.71,10,2024-08-13T13:24:00Z,2024-08-13T16:13:27Z,169,120,5,1,0.86,10.26,10.26,0.10265,0.10265,0.001784,0.001683,15.43
HYPERPRO_vs_VIIRS_N_vs_20240813T094900_RHOW.csv,HYPERPRO,VIIRS_N,15.644499999999999,36.85379999999999,15.109642000000001,40.163563,371.37,21,2024-08-13T11:49:00Z,2024-08-13T13:54:01Z,125,240,5,0.49,0.63,-16.15,32.71,-0.128632,0.280569,0.00778,0.005705,24.23
HYPERPRO_vs_VIIRS_N_vs_20240813T094900_RHOW.csv,VIIRS_N,HYPERPRO,15.109642000000001,40.163563,15.644499999999999,36.85379999999999,371.37,21,2024-08-13T13:54:01Z,2024-08-13T11:49:00Z,125,240,5,1.62,1.49,16.15,32.71,0.175549,0.293222,0.00778,0.005705,31.63
HYPERPRO_vs_VIIRS_J1_vs_20240813T094900_RHOW.csv,HYPERPRO,VIIRS_J1,15.644499999999999,36.85379999999999,15.324942,39.88182399999999,338.23,21,2024-08-13T11:49:00Z,2024-08-13T14:18:01Z,149,240,5,0.89,1.37,-8.99,8.99,-0.082445,0.082445,0.002287,0.001487,21.14
HYPERPRO_vs_VIIRS_J1_vs_20240813T094900_RHOW.csv,VIIRS_J1,HYPERPRO,15.324942,39.88182399999999,15.644499999999999,36.85379999999999,338.23,21,2024-08-13T14:18:01Z,2024-08-13T11:49:00Z,149,240,5,1.12,0.71,8.99,8.99,0.089853,0.089853,0.002287,0.001487,103.51
