var_name,sensor_X,sensor_Y,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Wavelength_nm,Slope,Slope_log,Bias,Error,MRD,MARD,RMSE,MSA,MAPE
LD,HYPERNETS,TRIOS,55,34,34,34,403,0.87,1,-10.72,12.82,-0.09674,0.118332,11.704916,10.191111,11.45
LD,TRIOS,HYPERNETS,55,34,34,34,403,0.86,0.75,10.72,12.82,0.10736,0.120487,11.704916,10.191111,13.31
LD,HYPERNETS,TRIOS,55,34,34,34,404,0.9,1.01,-9.21,11.81,-0.08422,0.110475,10.87864,9.566447,10.86
LD,TRIOS,HYPERNETS,55,34,34,34,404,0.84,0.74,9.21,11.81,0.092193,0.118184,10.87864,9.566447,12.36
LD,HYPERNETS,TRIOS,55,34,34,34,405,0.9,0.98,-5.69,10.14,-0.053823,0.09554,9.689855,8.436107,9.9
LD,TRIOS,HYPERNETS,55,34,34,34,405,0.83,0.75,5.69,10.14,0.056955,0.101245,9.689855,8.436107,10.7
LD,HYPERNETS,TRIOS,55,34,34,34,406,0.91,0.99,-5.46,10.33,-0.05168,0.094011,9.5831,8.315652,9.79
LD,TRIOS,HYPERNETS,55,34,34,34,406,0.82,0.75,5.46,10.33,0.054641,0.102743,9.5831,8.315652,10.57
LD,HYPERNETS,TRIOS,55,34,34,34,407,0.91,0.99,-5.27,10.39,-0.049985,0.094966,9.531018,8.236104,9.72
LD,TRIOS,HYPERNETS,55,34,34,34,407,0.82,0.75,5.27,10.39,0.052824,0.10091,9.531018,8.236104,10.49
LD,HYPERNETS,TRIOS,55,34,34,34,408,0.92,0.99,-5.46,10.43,-0.051644,0.096245,9.573544,8.2896,9.78
LD,TRIOS,HYPERNETS,55,34,34,34,408,0.83,0.75,5.46,10.43,0.054678,0.102424,9.573544,8.2896,10.58
LD,HYPERNETS,TRIOS,55,34,34,34,409,0.92,1,-5.43,10.43,-0.051399,0.096494,9.562029,8.259842,9.75
LD,TRIOS,HYPERNETS,55,34,34,34,409,0.82,0.75,5.43,10.43,0.054411,0.102896,9.562029,8.259842,10.54
LD,HYPERNETS,TRIOS,55,34,34,34,410,0.93,1,-5.57,10.44,-0.05267,0.096813,9.600685,8.285836,9.78
LD,TRIOS,HYPERNETS,55,34,34,34,410,0.82,0.75,5.57,10.44,0.055828,0.103392,9.600685,8.285836,10.59
LD,HYPERNETS,TRIOS,55,34,34,34,411,0.91,0.99,-6.03,10.79,-0.056784,0.098713,9.89475,8.585253,10.01
LD,TRIOS,HYPERNETS,55,34,34,34,411,0.83,0.75,6.03,10.79,0.060453,0.103766,9.89475,8.585253,10.92
LD,HYPERNETS,TRIOS,55,34,34,34,412,0.89,0.98,-7.67,12.21,-0.071187,0.108823,10.778564,9.457729,10.74
LD,TRIOS,HYPERNETS,55,34,34,34,412,0.86,0.76,7.67,12.21,0.076785,0.121409,10.778564,9.457729,11.98
LD,HYPERNETS,TRIOS,55,34,34,34,413,0.89,0.98,-8.18,12.78,-0.075556,0.113316,10.995298,9.642523,10.89
LD,TRIOS,HYPERNETS,55,34,34,34,413,0.86,0.76,8.18,12.78,0.081958,0.120439,10.995298,9.642523,12.25
LD,HYPERNETS,TRIOS,55,34,34,34,414,0.89,0.99,-8.32,12.67,-0.076687,0.114633,11.093585,9.731814,10.97
LD,TRIOS,HYPERNETS,55,34,34,34,414,0.87,0.76,8.32,12.67,0.083297,0.119468,11.093585,9.731814,12.38
LD,HYPERNETS,TRIOS,55,34,34,34,415,0.9,0.99,-8.45,12.7,-0.077818,0.115005,11.092328,9.727857,11.01
LD,TRIOS,HYPERNETS,55,34,34,34,415,0.86,0.76,8.45,12.7,0.08464,0.119583,11.092328,9.727857,12.42
LD,HYPERNETS,TRIOS,55,34,34,34,416,0.9,0.99,-9.09,12.73,-0.083261,0.119711,11.303803,9.887265,11.2
LD,TRIOS,HYPERNETS,55,34,34,34,416,0.86,0.76,9.09,12.73,0.091059,0.120357,11.303803,9.887265,12.75
LD,HYPERNETS,TRIOS,55,34,34,34,417,0.9,0.99,-8,12.64,-0.073948,0.11217,10.856295,9.528174,10.98
LD,TRIOS,HYPERNETS,55,34,34,34,417,0.87,0.76,8,12.64,0.080196,0.119807,10.856295,9.528174,12.34
LD,HYPERNETS,TRIOS,55,34,34,34,418,0.9,0.98,-7.22,12.23,-0.067166,0.108971,10.538343,9.221075,10.8
LD,TRIOS,HYPERNETS,55,34,34,34,418,0.87,0.77,7.22,12.23,0.0723,0.122298,10.538343,9.221075,12.02
LD,HYPERNETS,TRIOS,55,34,34,34,419,0.9,0.98,-7.57,12.56,-0.070293,0.111576,10.609697,9.304102,10.93
LD,TRIOS,HYPERNETS,55,34,34,34,419,0.87,0.77,7.57,12.56,0.07582,0.123061,10.609697,9.304102,12.22
LD,HYPERNETS,TRIOS,55,34,34,34,420,0.9,0.99,-8.3,12.95,-0.076517,0.115563,10.791749,9.455123,11.11
LD,TRIOS,HYPERNETS,55,34,34,34,420,0.87,0.76,8.3,12.95,0.083093,0.121652,10.791749,9.455123,12.55
LD,HYPERNETS,TRIOS,55,34,34,34,421,0.9,1,-8.65,12.72,-0.079463,0.115751,10.840016,9.463747,11.17
LD,TRIOS,HYPERNETS,55,34,34,34,421,0.87,0.76,8.65,12.72,0.086713,0.120217,10.840016,9.463747,12.68
LD,HYPERNETS,TRIOS,55,34,34,34,422,0.89,0.98,-8.19,12.87,-0.075615,0.114062,10.613319,9.30831,11.12
LD,TRIOS,HYPERNETS,55,34,34,34,422,0.88,0.77,8.19,12.87,0.082068,0.124359,10.613319,9.30831,12.48
LD,HYPERNETS,TRIOS,55,34,34,34,423,0.89,0.98,-7.83,12.77,-0.072491,0.113261,10.37843,9.094033,11.06
LD,TRIOS,HYPERNETS,55,34,34,34,423,0.88,0.78,7.83,12.77,0.078428,0.125639,10.37843,9.094033,12.38
LD,HYPERNETS,TRIOS,55,34,34,34,424,0.89,0.98,-8.35,13.12,-0.076923,0.115998,10.485301,9.188567,11.24
LD,TRIOS,HYPERNETS,55,34,34,34,424,0.89,0.78,8.35,13.12,0.083651,0.123825,10.485301,9.188567,12.67
LD,HYPERNETS,TRIOS,55,34,34,34,425,0.88,0.98,-9.6,13.4,-0.087469,0.125181,10.846584,9.498776,11.64
LD,TRIOS,HYPERNETS,55,34,34,34,425,0.9,0.78,9.6,13.4,0.09613,0.127182,10.846584,9.498776,13.31
LD,HYPERNETS,TRIOS,55,34,34,34,426,0.88,0.98,-9.66,13.36,-0.087962,0.124537,10.791742,9.430792,11.73
LD,TRIOS,HYPERNETS,55,34,34,34,426,0.9,0.78,9.66,13.36,0.096727,0.129209,10.791742,9.430792,13.48
LD,HYPERNETS,TRIOS,55,34,34,34,427,0.89,0.99,-9.05,13.32,-0.08288,0.12372,10.371529,9.065969,11.57
LD,TRIOS,HYPERNETS,55,34,34,34,427,0.9,0.78,9.05,13.32,0.090604,0.125965,10.371529,9.065969,13.21
LD,HYPERNETS,TRIOS,55,34,34,34,428,0.9,0.98,-8.13,13.17,-0.075077,0.116374,9.782237,8.566982,11.29
LD,TRIOS,HYPERNETS,55,34,34,34,428,0.89,0.78,8.13,13.17,0.081528,0.127116,9.782237,8.566982,12.7
LD,HYPERNETS,TRIOS,55,34,34,34,429,0.92,0.98,-5.75,11.06,-0.054206,0.106278,8.838601,7.610335,10.47
LD,TRIOS,HYPERNETS,55,34,34,34,429,0.87,0.78,5.75,11.06,0.05765,0.109191,8.838601,7.610335,11.35
LD,HYPERNETS,TRIOS,55,34,34,34,430,0.92,0.98,-4.98,11.11,-0.047326,0.103027,8.647851,7.385084,10.32
LD,TRIOS,HYPERNETS,55,34,34,34,430,0.87,0.78,4.98,11.11,0.049997,0.106541,8.647851,7.385084,11.06
LD,HYPERNETS,TRIOS,55,34,34,34,431,0.91,0.98,-6.33,11.54,-0.05936,0.106441,9.026842,7.821619,10.77
LD,TRIOS,HYPERNETS,55,34,34,34,431,0.88,0.78,6.33,11.54,0.063407,0.113617,9.026842,7.821619,11.78
LD,HYPERNETS,TRIOS,55,34,34,34,432,0.9,0.98,-7.68,12.77,-0.071215,0.113247,9.504247,8.309155,11.26
LD,TRIOS,HYPERNETS,55,34,34,34,432,0.9,0.79,7.68,12.77,0.076959,0.127712,9.504247,8.309155,12.57
LD,HYPERNETS,TRIOS,55,34,34,34,433,0.85,0.95,-10.27,13.95,-0.093149,0.12786,10.967198,9.49689,12.24
LD,TRIOS,HYPERNETS,55,34,34,34,433,0.94,0.8,10.27,13.95,0.102773,0.131759,10.967198,9.49689,14.15
LD,HYPERNETS,TRIOS,55,34,34,34,434,0.87,0.98,-10.84,14.37,-0.097643,0.127061,11.226118,9.795433,12.45
LD,TRIOS,HYPERNETS,55,34,34,34,434,0.93,0.79,10.84,14.37,0.108502,0.133836,11.226118,9.795433,14.54
LD,HYPERNETS,TRIOS,55,34,34,34,435,0.86,0.97,-11.22,14.58,-0.100799,0.132447,11.952881,10.402338,12.94
LD,TRIOS,HYPERNETS,55,34,34,34,435,0.94,0.79,11.22,14.58,0.112363,0.134602,11.952881,10.402338,15.28
LD,HYPERNETS,TRIOS,55,34,34,34,436,0.88,0.98,-10.69,14.44,-0.096425,0.130194,11.487881,10.028351,12.51
LD,TRIOS,HYPERNETS,55,34,34,34,436,0.93,0.79,10.69,14.44,0.106994,0.134242,11.487881,10.028351,14.61
LD,HYPERNETS,TRIOS,55,34,34,34,437,0.89,0.98,-9.37,14.27,-0.085549,0.132401,10.981059,9.608332,12.08
LD,TRIOS,HYPERNETS,55,34,34,34,437,0.92,0.79,9.37,14.27,0.093831,0.134958,10.981059,9.608332,13.87
LD,HYPERNETS,TRIOS,55,34,34,34,438,0.91,0.99,-8.58,14.09,-0.078944,0.123866,10.612646,9.298983,11.76
LD,TRIOS,HYPERNETS,55,34,34,34,438,0.9,0.78,8.58,14.09,0.085983,0.131979,10.612646,9.298983,13.34
LD,HYPERNETS,TRIOS,55,34,34,34,439,0.92,1,-8.17,13.95,-0.075428,0.122448,10.422932,9.117525,11.58
LD,TRIOS,HYPERNETS,55,34,34,34,439,0.89,0.78,8.17,13.95,0.081852,0.134334,10.422932,9.117525,13.05
LD,HYPERNETS,TRIOS,55,34,34,34,440,0.93,1,-8.26,14.06,-0.076206,0.12329,10.546937,9.172965,11.61
LD,TRIOS,HYPERNETS,55,34,34,34,440,0.88,0.78,8.26,14.06,0.082754,0.135533,10.546937,9.172965,13.09
LD,HYPERNETS,TRIOS,55,34,34,34,441,0.89,0.98,-9.25,14.56,-0.084524,0.131125,11.331026,9.935469,12.17
LD,TRIOS,HYPERNETS,55,34,34,34,441,0.92,0.79,9.25,14.56,0.092575,0.136946,11.331026,9.935469,13.92
LD,HYPERNETS,TRIOS,55,34,34,34,442,0.88,0.97,-9.76,14.43,-0.088821,0.133918,11.813535,10.308047,12.38
LD,TRIOS,HYPERNETS,55,34,34,34,442,0.94,0.8,9.76,14.43,0.097734,0.136469,11.813535,10.308047,14.28
LD,HYPERNETS,TRIOS,55,34,34,34,443,0.88,0.97,-9.55,14.55,-0.087094,0.13346,11.722415,10.240563999999999,12.3
LD,TRIOS,HYPERNETS,55,34,34,34,443,0.93,0.8,9.55,14.55,0.095665,0.1372,11.722415,10.240563999999999,14.13
LD,HYPERNETS,TRIOS,55,34,34,34,444,0.89,0.98,-9.08,14.61,-0.083121,0.129891,11.547616,10.083035,12.15
LD,TRIOS,HYPERNETS,55,34,34,34,444,0.92,0.8,9.08,14.61,0.090921,0.137057,11.547616,10.083035,13.86
LD,HYPERNETS,TRIOS,55,34,34,34,445,0.9,0.98,-8.61,14.39,-0.079163,0.125823,11.351481,9.897337,11.97
LD,TRIOS,HYPERNETS,55,34,34,34,445,0.92,0.79,8.61,14.39,0.086234,0.137051,11.351481,9.897337,13.56
LD,HYPERNETS,TRIOS,55,34,34,34,446,0.91,0.98,-8.2,13.93,-0.075708,0.122243,11.197751,9.756398,11.83
LD,TRIOS,HYPERNETS,55,34,34,34,446,0.91,0.79,8.2,13.93,0.082187,0.136698,11.197751,9.756398,13.31
LD,HYPERNETS,TRIOS,55,34,34,34,447,0.92,0.99,-7.8,13.62,-0.072268,0.120725,11.141007,9.726993,11.79
LD,TRIOS,HYPERNETS,55,34,34,34,447,0.91,0.79,7.8,13.62,0.078187,0.133529,11.141007,9.726993,13.23
LD,HYPERNETS,TRIOS,55,34,34,34,448,0.9,0.98,-9.01,14.48,-0.082501,0.126462,11.69825,10.219127,12.11
LD,TRIOS,HYPERNETS,55,34,34,34,448,0.92,0.8,9.01,14.48,0.090205,0.136496,11.69825,10.219127,13.77
LD,HYPERNETS,TRIOS,55,34,34,34,449,0.88,0.97,-9.89,14.82,-0.089917,0.134834,12.403803,10.823137,12.55
LD,TRIOS,HYPERNETS,55,34,34,34,449,0.95,0.81,9.89,14.82,0.099043,0.139594,12.403803,10.823137,14.45
LD,HYPERNETS,TRIOS,55,34,34,34,450,0.89,0.98,-9.92,14.9,-0.090127,0.136923,12.436673,10.835788,12.57
LD,TRIOS,HYPERNETS,55,34,34,34,450,0.94,0.8,9.92,14.9,0.09935,0.140489,12.436673,10.835788,14.51
LD,HYPERNETS,TRIOS,55,34,34,34,451,0.9,0.98,-9.38,14.93,-0.085612,0.132541,12.186734,10.612825,12.41
LD,TRIOS,HYPERNETS,55,34,34,34,451,0.93,0.8,9.38,14.93,0.093944,0.139997,12.186734,10.612825,14.22
LD,HYPERNETS,TRIOS,55,34,34,34,452,0.9,0.98,-9.26,14.94,-0.084572,0.131339,12.086719,10.506811,12.37
LD,TRIOS,HYPERNETS,55,34,34,34,452,0.93,0.8,9.26,14.94,0.092719,0.139853,12.086719,10.506811,14.13
LD,HYPERNETS,TRIOS,55,34,34,34,453,0.9,0.98,-7.92,13.98,-0.073218,0.122615,11.588255,10.059035,12.05
LD,TRIOS,HYPERNETS,55,34,34,34,453,0.93,0.81,7.92,13.98,0.079326,0.138846,11.588255,10.059035,13.54
LD,HYPERNETS,TRIOS,55,34,34,34,454,0.9,0.97,-8.08,13.95,-0.074646,0.124303,11.529334,10.019381,12.05
LD,TRIOS,HYPERNETS,55,34,34,34,454,0.93,0.81,8.08,13.95,0.080969,0.138794,11.529334,10.019381,13.51
LD,HYPERNETS,TRIOS,55,34,34,34,455,0.9,0.97,-8.33,14.12,-0.07678,0.12481,11.588374,10.086537,12.14
LD,TRIOS,HYPERNETS,55,34,34,34,455,0.93,0.81,8.33,14.12,0.083472,0.140542,11.588374,10.086537,13.63
LD,HYPERNETS,TRIOS,55,34,34,34,456,0.9,0.98,-8.72,14.47,-0.080039,0.12639,11.693237,10.188637,12.26
LD,TRIOS,HYPERNETS,55,34,34,34,456,0.94,0.81,8.72,14.47,0.087318,0.140881,11.693237,10.188637,13.84
LD,HYPERNETS,TRIOS,55,34,34,34,457,0.9,0.98,-9.06,14.94,-0.082968,0.129944,11.806224,10.293612,12.4
LD,TRIOS,HYPERNETS,55,34,34,34,457,0.93,0.81,9.06,14.94,0.090784,0.141719,11.806224,10.293612,14.07
LD,HYPERNETS,TRIOS,55,34,34,34,458,0.91,0.98,-9.39,15.2,-0.085726,0.131942,11.896982,10.372517,12.52
LD,TRIOS,HYPERNETS,55,34,34,34,458,0.93,0.8,9.39,15.2,0.094076,0.143553,11.896982,10.372517,14.26
LD,HYPERNETS,TRIOS,55,34,34,34,459,0.9,0.98,-9.44,15.39,-0.086165,0.133386,11.927571,10.372657,12.57
LD,TRIOS,HYPERNETS,55,34,34,34,459,0.93,0.8,9.44,15.39,0.094548,0.145075,11.927571,10.372657,14.33
LD,HYPERNETS,TRIOS,55,34,34,34,460,0.91,0.98,-9.83,15.54,-0.089361,0.136411,12.04719,10.475694,12.69
LD,TRIOS,HYPERNETS,55,34,34,34,460,0.94,0.8,9.83,15.54,0.098394,0.145224,12.04719,10.475694,14.56
LD,HYPERNETS,TRIOS,55,34,34,34,461,0.9,0.98,-10.21,15.4,-0.092564,0.139864,12.198145,10.618538,12.84
LD,TRIOS,HYPERNETS,55,34,34,34,461,0.94,0.81,10.21,15.4,0.102278,0.144718,12.198145,10.618538,14.82
LD,HYPERNETS,TRIOS,55,34,34,34,462,0.9,0.98,-10.38,15.28,-0.093932,0.141104,12.275683,10.671168,12.92
