system,sat,wavelength,sat_version,n,Slope,Slope_log,RMSE,MSA,MAPE,Bias,Error
HYPERNETS,S3A,400,S3A v3.0,5,1.23,1.25,0.007017,0.005673,18.43,11.18,11.18
HYPERNETS,S3A,413,S3A v3.0,5,1.22,1.2,0.006639,0.00529,17.07,10.38,10.38
HYPERNETS,S3A,443,S3A v3.0,5,1.16,1.12,0.005223,0.004205,15.51,7.19,7.19
HYPERNETS,S3A,490,S3A v3.0,5,0.34,0.4,0.003015,0.002366,13.46,6.56,6.56
HYPERNETS,S3A,510,S3A v3.0,5,NA,NA,NA,NA,NA,NA,NA
HYPERNETS,S3A,560,S3A v3.0,5,-0.75,-0.65,8.87e-4,6.82e-4,17.57,9.53,9.53
HYPERNETS,S3A,620,S3A v3.0,5,-1.11,-0.93,4.65e-4,3.8e-4,55.82,31.41,39.47
HYPERNETS,S3A,665,S3A v3.0,5,-1.4,-1.14,3.5e-4,2.74e-4,66.87,26.3,42.69
HYPERNETS,S3A,674,S3A v3.0,5,-0.98,-0.88,2.71e-4,2.15e-4,51.03,16.39,39.61
HYPERNETS,S3A,681,S3A v3.0,5,-0.93,-0.81,2.28e-4,1.85e-4,46.36,15.5,35.1
HYPERNETS,S3A,400,S3A v4.0,5,1.19,1.25,0.005612,0.004582,15.12,8.01,8.01
HYPERNETS,S3A,413,S3A v4.0,5,1.18,1.24,0.00443,0.003423,11.37,4.67,5.64
HYPERNETS,S3A,443,S3A v4.0,5,1.15,1.18,0.003424,0.002428,8.97,2.15,2.15
HYPERNETS,S3A,490,S3A v4.0,5,0.55,0.61,0.001837,0.001301,7.38,0.5,2.71
HYPERNETS,S3A,510,S3A v4.0,5,NA,NA,NA,NA,NA,NA,NA
HYPERNETS,S3A,560,S3A v4.0,5,-0.42,-0.37,6.1e-4,4.85e-4,12.25,3.78,10.92
HYPERNETS,S3A,620,S3A v4.0,5,-0.78,-0.74,3.37e-4,3.08e-4,43.79,25.79,45.99
HYPERNETS,S3A,665,S3A v4.0,5,-0.9,-0.91,2.33e-4,1.88e-4,42.71,6.43,34.5
HYPERNETS,S3A,674,S3A v4.0,5,-0.5,-0.57,1.74e-4,1.4e-4,29.73,-1.71,22.68
HYPERNETS,S3A,681,S3A v4.0,5,-0.45,-0.47,1.45e-4,1.22e-4,27.68,1.74,28.21
HYPERNETS,S3A,400,S3A hm,5,1.25,1.28,0.006747,0.005513,18.02,10.59,10.59
HYPERNETS,S3A,413,S3A hm,5,1.24,1.23,0.006335,0.004955,15.95,9.38,9.38
HYPERNETS,S3A,443,S3A hm,5,1.18,1.14,0.004971,0.003969,14.61,7.43,7.43
HYPERNETS,S3A,490,S3A hm,5,0.53,0.58,0.002936,0.00227,12.85,5.41,5.41
HYPERNETS,S3A,510,S3A hm,5,NA,NA,NA,NA,NA,NA,NA
HYPERNETS,S3A,560,S3A hm,5,-1.15,-0.42,0.007151,0.007064,175.4,166.2,166.2
HYPERNETS,S3A,620,S3A hm,5,-1.16,-0.21,0.003831,0.003794,537.67,507.72,507.72
HYPERNETS,S3A,665,S3A hm,5,-1.72,-0.89,5.96e-4,4.39e-4,111.68,82.55,82.55
HYPERNETS,S3A,674,S3A hm,5,-1.36,-1.17,3.51e-4,2.63e-4,62.85,15.9,48.03
HYPERNETS,S3A,681,S3A hm,5,-1.25,-0.97,3.07e-4,2.13e-4,55.31,-0.05,29.29
HYPERNETS,S3B,400,S3B v3.0,5,-0.08,-0.07,0.007533,0.005445,19.25,4.28,4.28
HYPERNETS,S3B,413,S3B v3.0,5,-0.13,-0.11,0.006848,0.004666,16.56,2.68,2.68
